Parametro;periodo de referencia;region;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitacion;1981-2010;A CORUNA;191.5;147.0;133.6;139.0;117.5;62.6;45.4;49.8;92.0;200.2;209.9;218.8;1607.3
Precipitacion;1981-2010;ALBACETE;32.2;35.5;35.3;46.9;46.3;29.0;8.4;13.9;36.0;48.8;46.4;45.4;424.1
Precipitacion;1981-2010;ALICANTE;35.9;35.5;33.7;38.7;40.8;18.9;5.7;11.4;54.6;56.0;51.2;38.5;420.9
Precipitacion;1981-2010;ALMERIA;34.7;34.9;30.7;26.2;26.4;10.6;1.9;5.6;27.7;36.2;42.6;37.9;315.4
Precipitacion;1981-2010;ARABA;88.5;72.0;73.0;88.4;77.2;49.8;36.5;38.2;50.1;79.0;104.8;96.2;853.7
Precipitacion;1981-2010;ASTURIAS;118.2;107.3;102.2;122.2;99.7;65.1;47.3;56.2;74.0;127.8;150.8;139.4;1210.2
Precipitacion;1981-2010;AVILA;64.9;48.5;42.8;65.9;67.2;31.8;13.7;16.7;38.2;86.5;86.2;91.3;653.7
Precipitacion;1981-2010;BADAJOZ;59.1;49.6;36.2;54.9;43.0;19.9;4.4;6.0;29.8;68.0;73.9;80.6;525.4
Precipitacion;1981-2010;ILLES BALEARS;53.2;46.4;38.0;45.3;39.6;13.9;6.8;21.8;66.1;80.5;83.4;70.0;565.0
Precipitacion;1981-2010;BARCELONA;43.7;34.3;39.6;55.8;69.5;51.2;33.1;60.4;75.1;79.4;59.4;47.7;649.2
Precipitacion;1981-2010;BIZKAIA;137.3;111.4;112.4;124.1;94.8;64.0;53.9;72.9;82.3;124.6;163.1;142.4;1283.2
Precipitacion;1981-2010;BURGOS;58.8;47.5;45.5;67.8;66.8;44.2;27.7;26.0;38.8;66.4;72.5;74.2;636.2
Precipitacion;1981-2010;CACERES;78.5;61.4;47.7;64.2;58.1;22.2;6.3;8.0;37.4;94.9;102.1;109.3;690.1
Precipitacion;1981-2010;CADIZ;106.0;87.6;58.3;64.3;37.2;10.1;0.8;5.3;30.4;85.7;121.7;154.5;761.9
Precipitacion;1981-2010;CANTABRIA;125.7;105.0;107.0;115.0;97.8;62.6;49.2;61.7;74.7;111.3;153.0;130.4;1193.4
Precipitacion;1981-2010;CASTELLON;43.3;38.4;35.4;58.1;60.1;34.6;18.0;34.9;64.5;78.4;59.1;49.2;574.0
Precipitacion;1981-2010;CEUTA;85.5;96.6;66.3;61.1;26.7;6.0;1.3;5.8;24.0;68.9;106.1;148.9;697.2
Precipitacion;1981-2010;CIUDAD REAL;46.2;40.1;33.1;56.7;46.3;24.0;5.2;7.7;28.3;59.7;57.3;71.3;475.9
Precipitacion;1981-2010;CORDOBA;66.9;55.3;46.0;62.0;43.4;15.4;4.3;7.0;30.1;73.2;84.8;101.1;589.5
Precipitacion;1981-2010;CUENCA;42.9;40.9;36.4;58.2;55.9;36.9;11.0;17.1;37.0;61.6;56.0;61.5;515.4
Precipitacion;1981-2010;GIPUZKOA;154.1;125.5;130.9;145.2;115.7;79.9;66.9;86.2;94.6;140.3;178.8;161.4;1479.5
Precipitacion;1981-2010;GIRONA;62.6;50.9;53.9;73.7;86.1;64.7;42.4;60.9;75.4;98.1;75.2;65.8;809.7
Precipitacion;1981-2010;GRANADA;52.4;49.7;40.2;44.0;38.4;17.3;3.6;7.7;27.4;46.7;65.8;72.2;465.4
Precipitacion;1981-2010;GUADALAJARA;43.0;37.8;33.7;62.8;67.1;40.2;18.3;18.3;37.4;65.2;59.8;59.9;543.5
Precipitacion;1981-2010;HUELVA;83.3;61.6;47.7;67.0;40.7;13.9;3.1;7.1;33.6;87.5;101.3;126.6;673.4
Precipitacion;1981-2010;HUESCA;48.7;37.4;41.3;75.5;76.8;53.7;37.5;46.1;68.8;83.0;73.6;65.8;708.2
Precipitacion;1981-2010;JAEN;62.3;59.1;49.8;66.3;50.5;22.0;4.3;8.5;33.0;63.2;76.5;91.3;586.8
Precipitacion;1981-2010;LA RIOJA;43.5;36.0;37.8;62.3;68.9;48.7;31.7;27.5;33.5;52.2;55.4;53.3;550.8
Precipitacion;1981-2010;LAS PALMAS;28.4;29.9;20.5;8.7;2.5;0.8;0.3;0.6;5.0;15.8;29.9;45.8;188.2
Precipitacion;1981-2010;LEON;83.2;65.9;61.4;72.3;74.2;42.7;25.3;27.8;52.7;100.3;101.4;109.2;816.4
Precipitacion;1981-2010;LLEIDA;37.6;25.1;33.4;61.6;69.4;52.8;33.9;51.3;62.5;65.7;58.0;46.6;597.9
Precipitacion;1981-2010;LUGO;130.1;106.3;93.5;111.0;92.8;54.3;36.1;40.0;72.7;146.0;151.3;159.3;1193.4
Precipitacion;1981-2010;MADRID;45.3;40.2;32.0;53.0;57.2;28.1;11.6;12.8;29.0;67.3;68.5;66.2;511.2
Precipitacion;1981-2010;MALAGA;86.5;74.4;57.7;57.3;34.2;9.3;1.0;6.6;30.7;74.9;108.8;123.6;665.0
Precipitacion;1981-2010;MELILLA;55.6;55.6;42.2;29.4;19.2;6.8;0.8;3.6;17.1;38.9;54.5;48.2;371.9
Precipitacion;1981-2010;MURCIA;25.4;28.9;29.6;29.3;33.1;18.7;4.2;11.0;34.8;38.5;36.7;26.4;316.6
Precipitacion;1981-2010;NAVARRA;85.8;73.8;74.4;98.7;79.4;54.5;38.9;42.7;61.3;89.0;103.8;99.7;902.0
Precipitacion;1981-2010;OURENSE;127.7;98.4;87.2;99.9;87.7;45.2;25.8;31.1;66.9;146.4;145.1;167.9;1129.3
