parametro;region;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitacion;A CORUNA;171.2;72.0;96.1;173.7;52.9;78.2;19.6;56.6;73.2;249.4;393.3;268.8;1705.0
Precipitacion;ALBACETE;18.8;5.0;19.4;159.8;8.6;3.8;8.5;24.2;101.5;25.0;56.8;44.6;476.0
Precipitacion;ALICANTE;2.1;0.8;34.1;180.4;6.2;1.1;0.8;44.6;171.0;47.9;17.8;79.8;586.6
Precipitacion;ALMERIA;2.9;4.3;14.2;55.8;1.9;2.0;0.3;1.9;100.4;24.1;24.5;48.0;280.3
Precipitacion;ARABA;193.5;49.2;27.6;79.5;61.6;26.5;60.1;23.6;62.2;63.0;259.7;83.7;990.2
Precipitacion;ASTURIAS;286.6;66.2;46.1;101.5;63.2;72.1;41.2;34.0;61.7;163.2;441.5;222.5;1599.8
Precipitacion;AVILA;29.9;3.5;29.1;76.2;6.3;3.4;13.1;31.3;46.1;57.6;93.7;151.6;541.8
Precipitacion;BADAJOZ;30.7;7.2;24.9;68.8;6.9;0.2;0.8;5.2;8.4;23.8;79.7;89.7;346.3
Precipitacion;ILLES BALEARS;42.2;4.9;12.3;29.8;24.9;0.4;4.2;18.7;64.5;89.9;99.2;70.1;461.1
Precipitacion;BARCELONA;14.3;3.2;3.8;54.6;68.5;21.1;58.2;35.2;58.5;96.9;39.1;92.4;545.8
Precipitacion;BIZKAIA;270.7;49.0;56.0;93.8;92.2;39.1;72.9;34.6;83.6;128.4;420.4;129.6;1470.3
Precipitacion;BURGOS;100.9;28.4;21.4;87.4;30.4;27.6;44.4;15.9;55.5;74.3;167.2;85.3;738.7
Precipitacion;CACERES;31.8;7.6;28.7;86.5;7.0;1.5;4.1;12.2;25.9;42.3;108.7;150.3;506.6
Precipitacion;CADIZ;51.0;6.2;18.8;80.0;0.0;0.7;0.2;0.0;11.8;20.2;106.3;85.6;380.8
Precipitacion;CANTABRIA;331.3;64.6;57.4;97.0;64.9;57.9;71.3;49.6;90.8;182.3;384.6;151.2;1602.9
Precipitacion;CASTELLON;6.8;0.5;20.2;72.5;25.8;2.2;23.6;45.3;69.5;39.2;10.8;100.4;416.8
Precipitacion;CEUTA;55.9;14.2;15.2;79.1;0.0;0.0;0.1;0.0;0.5;30.2;126.4;69.3;390.9
