Prametro;region;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitacion;A CORUNA;230.2;94.0;147.5;155.2;45.7;64.9;3.7;117.8;63.9;203.3;133.8;373.5;1633.5
Precipitacion;ALBACETE;57.5;1.3;113.6;60.7;54.1;10.5;16.9;9.3;15.2;19.5;74.1;34.7;467.4
Precipitacion;ALICANTE;141.2;2.2;95.9;54.4;35.2;23.6;2.5;17.3;9.0;5.1;39.6;4.5;430.5
Precipitacion;ALMERIA;43.9;0.6;68.9;34.3;14.5;2.2;2.9;0.6;17.4;7.4;36.8;1.5;231.0
Precipitacion;ARABA;46.9;12.2;113.9;75.1;67.5;63.4;12.4;38.9;75.2;129.4;34.0;188.9;857.8
Precipitacion;ASTURIAS;71.2;30.1;129.0;91.4;68.1;75.6;16.8;110.0;73.7;197.5;34.7;339.2;1237.3
Precipitacion;AVILA;39.7;2.5;64.0;108.0;42.2;11.4;6.2;15.2;72.8;123.3;117.6;59.3;662.2
Precipitacion;BADAJOZ;38.6;1.9;66.1;84.5;41.4;0.6;4.8;5.2;22.1;73.1;87.6;51.8;477.7
Precipitacion;ILLES BALEARS;125.4;0.3;40.7;107.8;21.8;34.0;2.9;22.4;64.7;46.7;29.6;39.9;536.2
Precipitacion;BARCELONA;153.9;1.7;55.3;139.0;72.0;113.6;43.1;70.4;52.3;39.0;72.4;24.4;837.1
Precipitacion;BIZKAIA;44.3;43.5;165.1;67.8;69.8;94.5;31.0;66.4;105.7;224.0;46.8;395.4;1354.3
Precipitacion;BURGOS;37.7;8.7;64.9;106.0;47.8;56.8;22.7;30.7;66.5;106.7;21.4;98.3;668.2
Precipitacion;CACERES;62.1;3.7;86.8;118.2;51.5;2.7;6.4;2.0;45.8;126.4;129.4;58.2;693.2
Precipitacion;CADIZ;102.6;3.8;102.4;76.0;64.6;13.5;0.2;0.5;4.7;63.1;97.8;72.8;602.0
Precipitacion;CANTABRIA;46.4;27.5;123.6;115.7;51.9;85.3;31.0;89.5;84.3;233.1;34.9;316.1;1239.3
Precipitacion;CASTELLON;166.5;0.4;206.5;107.3;56.2;50.2;10.2;14.1;24.5;8.9;161.3;12.0;818.1
Precipitacion;CEUTA;70.7;0.8;143.4;69.4;68.1;67.4;0.0;0.2;3.0;33.7;57.9;129.2;643.8
Precipitacion;CIUDAD REAL;24.5;2.1;67.4;64.9;45.2;3.4;5.9;17.1;18.6;32.1;58.0;44.1;383.3
Precipitacion;CORDOBA;45.9;1.9;64.5;90.8;38.3;2.1;1.2;13.0;18.0;50.6;97.9;45.5;469.7
Precipitacion;CUENCA;38.9;1.6;113.1;57.6;56.6;23.0;25.7;26.1;23.6;25.5;92.2;61.6;545.5
Precipitacion;GIPUZKOA;50.7;54.9;189.4;96.6;102.3;101.3;32.3;82.6;122.3;224.8;52.5;358.6;1468.3
Precipitacion;GIRONA;224.2;4.4;67.9;176.2;56.4;137.3;48.4;66.2;67.1;66.3;118.9;14.0;1047.3
Precipitacion;GRANADA;44.7;0.6;56.7;62.1;44.4;4.9;5.7;1.0;19.5;23.8;60.5;38.8;362.7
