Parametro;region;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitacion;A CORUNA;240.5;293.4;31.0;80.6;149.5;108.9;44.6;21.8;96.5;154.5;100.8;214.8;1536.9
Precipitacion;ALBACETE;68.1;28.0;26.2;65.3;25.4;50.0;2.0;34.5;48.0;44.8;33.1;14.1;439.5
Precipitacion;ALICANTE;49.2;3.7;63.2;85.8;57.2;20.0;9.2;5.0;44.0;41.1;47.4;1.8;427.6
Precipitacion;ALMERIA;56.3;5.2;35.8;43.1;38.8;16.9;10.2;1.9;17.4;27.3;32.6;3.2;288.7
Precipitacion;ARABA;96.8;79.9;38.0;52.0;37.7;107.8;8.5;17.7;63.3;38.5;212.2;197.3;949.7
Precipitacion;ASTURIAS;196.9;138.4;34.4;73.1;67.4;131.2;22.5;19.2;90.3;74.2;309.8;205.3;1362.7
Precipitacion;AVILA;67.6;104.5;5.6;83.4;25.7;44.4;5.5;14.2;97.9;91.7;33.9;47.5;621.9
Precipitacion;BADAJOZ;62.2;78.5;7.7;61.3;13.0;29.6;0.0;2.7;80.5;77.6;10.2;59.3;482.6
Precipitacion;ILLES BALEARS;81.2;5.3;53.9;22.0;54.4;28.5;8.8;10.0;73.2;55.6;229.9;18.1;640.9
Precipitacion;BARCELONA;26.8;28.4;16.4;72.2;26.0;42.3;18.7;25.7;76.0;40.6;72.8;2.2;448.1
Precipitacion;BIZKAIA;175.7;111.5;52.3;57.5;49.1;124.8;37.9;26.4;98.0;53.9;371.4;282.1;1440.6
Precipitacion;BURGOS;75.8;90.1;17.2;54.2;46.0;75.5;5.8;17.6;48.4;48.7;112.3;88.1;679.7
Precipitacion;CACERES;70.5;117.3;4.3;95.1;19.5;36.2;0.2;4.9;98.5;130.9;7.1;75.8;660.3
Precipitacion;CADIZ;148.5;75.4;65.0;35.5;7.5;12.3;0.0;0.1;30.8;24.8;44.5;135.1;579.5
Precipitacion;CANTABRIA;180.7;112.8;56.0;60.3;60.2;122.9;43.2;30.3;105.1;47.1;384.6;246.6;1449.8
Precipitacion;CASTELLON;56.6;21.6;30.6;97.3;31.7;46.1;33.9;57.0;106.6;15.3;47.3;4.1;548.1
Precipitacion;CEUTA;261.9;93.9;209.8;35.4;12.9;2.7;0.0;1.5;7.6;3.7;129.2;61.8;820.4
Precipitacion;CIUDAD REAL;84.0;39.6;10.3;63.0;11.8;24.0;0.7;16.1;39.8;88.9;23.1;34.2;435.5
